code;key;name;primary_unit;secondary_unit;norm_basis;start_boundary;finish_boundary;exclusions;operation_codes;observation_groups
EL-RI-001;solid;Подрозетники — твёрдые оштукатуренные стены;подрозетник;блок;primary_unit;"Зона принята; привязки известны; материалы и инструмент у рабочего места.";"Коробки установлены, выровнены, закреплены, проконтролированы; локальная уборка завершена.";штроба под кабель | прокладка кабеля | завод кабеля после затвердевания | чистовой механизм;EL-RI-001-01 | EL-RI-001-02 | EL-RI-001-03 | EL-RI-001-04 | EL-RI-001-05 | EL-RI-001-06 | EL-RI-001-07 | EL-RI-001-08 | EL-RI-001-09 | EL-RI-001-10 | EL-RI-001-11 | EL-RI-001-12;EL-RI-001-G01: Разметка | EL-RI-001-G02: Коронение отверстий | EL-RI-001-G03: Подготовка отверстий | EL-RI-001-G04: Подготовка состава | EL-RI-001-G05: Установка подрозетников | EL-RI-001-G06: Выравнивание | EL-RI-001-G07: Контроль | EL-RI-001-G08: Уборка
EL-RI-002;hollow;Подрозетники — полые стены / каркасная система;подрозетник;блок;primary_unit;Тип конструкции и привязки подтверждены.;Коробки штатно закреплены и проконтролированы.;прокладка кабеля | подключение механизма;EL-RI-002-01 | EL-RI-002-02 | EL-RI-002-03 | EL-RI-002-04 | EL-RI-002-05 | EL-RI-002-06 | EL-RI-002-07 | EL-RI-002-08 | EL-RI-002-09 | EL-RI-002-10;EL-RI-002-G01: Разметка | EL-RI-002-G02: Вырезание отверстий | EL-RI-002-G03: Подготовка отверстий | EL-RI-002-G04: Установка коробок | EL-RI-002-G05: Фиксация | EL-RI-002-G06: Контроль | EL-RI-002-G07: Уборка
EL-RI-003;cable1;Кабель по потолку — одиночная линия;м линии;линия;primary_unit;"Линия идентифицирована; бухта подготовлена; маршрут известен.";Линия проложена, закреплена, промаркирована и проверена.;изготовление проходок | коммутация концов | устройство кабельного лотка;EL-RI-003-01 | EL-RI-003-02 | EL-RI-003-03 | EL-RI-003-04 | EL-RI-003-05 | EL-RI-003-06 | EL-RI-003-07 | EL-RI-003-08 | EL-RI-003-09 | EL-RI-003-10 | EL-RI-003-11;EL-RI-003-G01: Разметка креплений | EL-RI-003-G02: Пристрелка площадок | EL-RI-003-G03: Размотка / прокладка | EL-RI-003-G04: Крепление стяжками | EL-RI-003-G05: Маркировка | EL-RI-003-G06: Контроль | EL-RI-003-G07: Завершение
EL-RI-004;cableBundle;Кабель по потолку — группа линий / пучок;м общего маршрута;линия в пучке;primary_unit+secondary_parameter;Состав группы и маркировка всех линий определены.;"Группа проложена, закреплена; линии идентифицируемы.";коммутация | ответвления вне общего маршрута;EL-RI-004-01 | EL-RI-004-02 | EL-RI-004-03 | EL-RI-004-04 | EL-RI-004-05 | EL-RI-004-06 | EL-RI-004-07 | EL-RI-004-08 | EL-RI-004-09 | EL-RI-004-10 | EL-RI-004-11 | EL-RI-004-12;EL-RI-004-G01: Разметка креплений | EL-RI-004-G02: Пристрелка площадок | EL-RI-004-G03: Подготовка группы | EL-RI-004-G04: Прокладка пучка | EL-RI-004-G05: Крепление стяжками | EL-RI-004-G06: Маркировка | EL-RI-004-G07: Контроль | EL-RI-004-G08: Завершение
EL-RI-005;boxInstall;Коммутационная коробка — монтаж + завод и маркировка кабелей;коробка;заведённый кабель;primary_unit+secondary_parameter;Место коробки и перечень кабелей заданы.;"Коробка закреплена; кабели заведены с запасом и промаркированы.";соединение жил;EL-RI-005-01 | EL-RI-005-02 | EL-RI-005-03 | EL-RI-005-04 | EL-RI-005-05 | EL-RI-005-06 | EL-RI-005-07 | EL-RI-005-08 | EL-RI-005-09 | EL-RI-005-10 | EL-RI-005-11;EL-RI-005-G01: Разметка | EL-RI-005-G02: Крепление коробки | EL-RI-005-G03: Подготовка вводов | EL-RI-005-G04: Завод кабелей | EL-RI-005-G05: Формирование запаса | EL-RI-005-G06: Маркировка | EL-RI-005-G07: Контроль | EL-RI-005-G08: Завершение
EL-RI-006;boxSocket;Коммутация коробки розеточной сети;коробка;гильза/соединение;primary_unit+secondary_parameter;Маркировка сверена со схемой.;"Соединения опрессованы, изолированы ТТК, уложены; коробка закрыта и проверена.";монтаж самой коробки | прокладка кабелей;EL-RI-006-01 | EL-RI-006-02 | EL-RI-006-03 | EL-RI-006-04 | EL-RI-006-05 | EL-RI-006-06 | EL-RI-006-07 | EL-RI-006-08 | EL-RI-006-09 | EL-RI-006-10 | EL-RI-006-11;EL-RI-006-G01: Сверка маркировки | EL-RI-006-G02: Разделка проводников | EL-RI-006-G03: Подбор ГМЛ | EL-RI-006-G04: Опрессовка | EL-RI-006-G05: Монтаж ТТК | EL-RI-006-G06: Термоусадка | EL-RI-006-G07: Укладка соединений | EL-RI-006-G08: Закрытие коробки | EL-RI-006-G09: Контроль
EL-RI-007;boxLight;Коммутация коробки освещения;коробка;соединение;primary_unit+secondary_parameter;Маркировка и схема сверены.;"Соединения выполнены клеммами, уложены; коробка закрыта и проверена.";монтаж самой коробки | прокладка кабелей;EL-RI-007-01 | EL-RI-007-02 | EL-RI-007-03 | EL-RI-007-04 | EL-RI-007-05 | EL-RI-007-06 | EL-RI-007-07 | EL-RI-007-08 | EL-RI-007-09;EL-RI-007-G01: Сверка маркировки | EL-RI-007-G02: Разделка проводников | EL-RI-007-G03: Подготовка клемм | EL-RI-007-G04: Коммутация WAGO | EL-RI-007-G05: Укладка соединений | EL-RI-007-G06: Закрытие коробки | EL-RI-007-G07: Контроль
EL-RI-008;chase;Штробление — вертикальный опуск к подрозетнику;м штробы;опуск;primary_unit+fixed_per_drop;"Маршрут проверен и размечен; пылеудаление готово.";Штроба прорезана, выбрана, очищена и проверена.;отверстие под подрозетник | заделка штробы;EL-RI-008-01 | EL-RI-008-02 | EL-RI-008-03 | EL-RI-008-04 | EL-RI-008-05 | EL-RI-008-06 | EL-RI-008-07 | EL-RI-008-08 | EL-RI-008-09;EL-RI-008-G01: Разметка | EL-RI-008-G02: Подготовка пылеудаления | EL-RI-008-G03: Резка штробы | EL-RI-008-G04: Выборка | EL-RI-008-G05: Очистка | EL-RI-008-G06: Контроль | EL-RI-008-G07: Завершение
EL-RI-009;cableToBox;Заведение кабеля в подрозетник после фиксации;подрозетник;кабель;primary_unit+secondary_parameter;Монтажный состав набрал достаточную прочность.;"Подрозетник очищен; кабель идентифицирован, заведён; запас и маркировка сформированы.";магистральная прокладка | подключение чистового механизма;EL-RI-009-01 | EL-RI-009-02 | EL-RI-009-03 | EL-RI-009-04 | EL-RI-009-05 | EL-RI-009-06 | EL-RI-009-07 | EL-RI-009-08 | EL-RI-009-09 | EL-RI-009-10;EL-RI-009-G01: Проверка фиксации | EL-RI-009-G02: Очистка подрозетника | EL-RI-009-G03: Подготовка вводов | EL-RI-009-G04: Идентификация кабеля | EL-RI-009-G05: Завод кабеля | EL-RI-009-G06: Формирование запаса | EL-RI-009-G07: Маркировка | EL-RI-009-G08: Контроль | EL-RI-009-G09: Завершение
